Station Name,lovelyDay871,,,,,,
Download Time,Sun Feb 18 2018 16:59:12 GMT-0600,,,,,,
,,,,,,,
N,Date,Temp F,Temp C,Flow l/s,Pump,dhtTemp C,dhtRH %
234,Sun Feb 18 2018 16:59:11 GMT-0600,79.72,27.13,0.67,1,21.7,39.2
235,Sun Feb 18 2018 16:59:12 GMT-0600,81.63,27.78,0.67,1,21.7,39.2
236,Sun Feb 18 2018 16:59:14 GMT-0600,80.67,27.99,0.67,1,21.7,39.3
237,Sun Feb 18 2018 16:59:14 GMT-0600,80.46,26.75,0.67,1,21.7,39.3
238,Sun Feb 18 2018 16:59:15 GMT-0600,80.67,27.45,0.66,1,21.7,39.3
239,Sun Feb 18 2018 16:59:17 GMT-0600,81.41,28.28,0.67,1,21.7,39.3
240,Sun Feb 18 2018 16:59:17 GMT-0600,81.41,27.33,0.67,1,21.7,39.4
241,Sun Feb 18 2018 16:59:18 GMT-0600,81.79,27.66,0.67,1,21.7,39.4
242,Sun Feb 18 2018 16:59:19 GMT-0600,80.83,29.44,0.67,1,21.7,39.4
243,Sun Feb 18 2018 16:59:20 GMT-0600,80.83,27.78,0.67,1,21.7,39.4
244,Sun Feb 18 2018 16:59:22 GMT-0600,82,27.45,0.66,1,21.7,39.4
245,Sun Feb 18 2018 16:59:23 GMT-0600,81.41,27.75,0.66,1,21.7,39.3
246,Sun Feb 18 2018 16:59:23 GMT-0600,81.19,27.99,0.67,1,21.7,39.3
247,Sun Feb 18 2018 16:59:25 GMT-0600,81.05,27.13,0.67,1,21.7,39.3
248,Sun Feb 18 2018 16:59:25 GMT-0600,80.83,27.25,0.67,1,21.7,39.3
249,Sun Feb 18 2018 16:59:26 GMT-0600,81.41,27.66,0.67,1,21.7,39.3
250,Sun Feb 18 2018 16:59:28 GMT-0600,80.83,27.45,0.67,1,21.7,39.3
251,Sun Feb 18 2018 16:59:28 GMT-0600,80.46,27.78,0.67,1,21.7,39.3
252,Sun Feb 18 2018 16:59:30 GMT-0600,81.41,27.57,0.67,1,21.7,39.4
253,Sun Feb 18 2018 16:59:30 GMT-0600,81.41,26.59,0.67,1,21.7,39.3
254,Sun Feb 18 2018 16:59:32 GMT-0600,81.63,27.33,0.67,1,21.7,39.3
255,Sun Feb 18 2018 16:59:33 GMT-0600,79.56,26.8,0.67,1,21.7,39.2
